Starting DroneDriver
ToggleCam 0
vel_x, Err, 30.000000, P, 0.030000, I, 0.000000, D, 0.000000, PID, 0.030000
vel_y, Err, -100.000000, P, -0.125000, I, 0.000000, D, 0.000000, PID, -0.125000
vel_x, Err, 23.000000, P, 0.023000, I, 0.000000, D, -0.007000, PID, 0.016000
vel_y, Err, -100.000000, P, -0.125000, I, 0.000000, D, 0.000000, PID, -0.125000
vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, -0.007000, PID, 0.009000
vel_y, Err, -99.000000, P, -0.123750, I, 0.000000, D, 0.001250, PID, -0.122500
vel_x, Err, 2.000000, P, 0.002000, I, 0.000000, D, -0.014000, PID, -0.012000
vel_y, Err, -93.000000, P, -0.116250, I, 0.000000, D, 0.007500, PID, -0.108750
vel_x, Err, -5.000000, P, -0.005000, I, 0.000000, D, -0.007000, PID, -0.012000
vel_y, Err, -90.000000, P, -0.112500, I, 0.000000, D, 0.003750, PID, -0.108750
vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, -0.010000, PID, -0.025000
vel_y, Err, -84.000000, P, -0.105000, I, 0.000000, D, 0.007500, PID, -0.097500
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, -0.006000, PID, -0.027000
vel_y, Err, -82.000000, P, -0.102500, I, 0.000000, D, 0.002500, PID, -0.100000
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
vel_y, Err, -82.000000, P, -0.102500, I, 0.000000, D, 0.000000, PID, -0.102500
vel_x, Err, -21.000000, P, -0.021000, I, 0.000000, D, 0.000000, PID, -0.021000
vel_y, Err, -82.000000, P, -0.102500, I, 0.000000, D, 0.000000, PID, -0.102500
vel_x, Err, 49.000000, P, 0.049000, I, 0.000000, D, 0.000000, PID, 0.049000
vel_y, Err, 69.000000, P, 0.086250, I, 0.000000, D, 0.000000, PID, 0.086250
vel_x, Err, 42.000000, P, 0.042000, I, 0.000000, D, -0.007000, PID, 0.035000
vel_y, Err, 68.000000, P, 0.085000, I, 0.000000, D, -0.001250, PID, 0.083750
vel_x, Err, 32.000000, P, 0.032000, I, 0.000000, D, -0.010000, PID, 0.022000
vel_y, Err, 65.000000, P, 0.081250, I, 0.000000, D, -0.003750, PID, 0.077500
