Starting DroneDriver
vel_x, Err, -22.000000, P, -0.017600, I, 0.000000, D, 0.000000, PID, -0.017600
vel_y, Err, -17.000000, P, -0.014875, I, 0.000000, D, 0.000000, PID, -0.014875
vel_x, Err, -23.000000, P, -0.018400, I, 0.000000, D, -0.000500, PID, -0.018900
vel_y, Err, -12.000000, P, -0.010500, I, 0.000000, D, 0.003125, PID, -0.007375
vel_x, Err, -24.000000, P, -0.019200, I, 0.000000, D, -0.000500, PID, -0.019700
vel_y, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, -21.000000, P, -0.016800, I, 0.000000, D, 0.001500, PID, -0.015300
vel_y, Err, 15.000000, P, 0.013125, I, 0.000000, D, 0.016875, PID, 0.030000
vel_x, Err, -21.000000, P, -0.016800, I, 0.000000, D, 0.000000, PID, -0.016800
vel_y, Err, 19.000000, P, 0.016625, I, 0.000000, D, 0.002500, PID, 0.019125
vel_x, Err, -24.000000, P, -0.019200, I, 0.000000, D, -0.001500, PID, -0.020700
vel_y, Err, 19.000000, P, 0.016625, I, 0.000000, D, 0.000000, PID, 0.016625
vel_x, Err, -30.000000, P, -0.024000, I, 0.000000, D, -0.003000, PID, -0.027000
vel_y, Err, 17.000000, P, 0.014875, I, 0.000000, D, -0.001250, PID, 0.013625
vel_x, Err, -30.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
vel_y, Err, 17.000000, P, 0.014875, I, 0.000000, D, 0.000000, PID, 0.014875
vel_x, Err, -30.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
vel_y, Err, 17.000000, P, 0.014875, I, 0.000000, D, 0.000000, PID, 0.014875
vel_x, Err, -49.000000, P, -0.039200, I, 0.000000, D, 0.000000, PID, -0.039200
vel_y, Err, 36.000000, P, 0.031500, I, 0.000000, D, 0.000000, PID, 0.031500
vel_x, Err, -45.000000, P, -0.036000, I, 0.000000, D, 0.002000, PID, -0.034000
vel_y, Err, 36.000000, P, 0.031500, I, 0.000000, D, 0.000000, PID, 0.031500
vel_x, Err, -42.000000, P, -0.033600, I, 0.000000, D, 0.001500, PID, -0.032100
vel_y, Err, 36.000000, P, 0.031500, I, 0.000000, D, 0.000000, PID, 0.031500
vel_x, Err, -41.000000, P, -0.032800, I, 0.000000, D, 0.000500, PID, -0.032300
vel_y, Err, 37.000000, P, 0.032375, I, 0.000000, D, 0.000625, PID, 0.033000
vel_x, Err, -46.000000, P, -0.036800, I, 0.000000, D, -0.002500, PID, -0.039300
vel_y, Err, 44.000000, P, 0.038500, I, 0.000000, D, 0.004375, PID, 0.042875
vel_x, Err, -49.000000, P, -0.039200, I, 0.000000, D, -0.001500, PID, -0.040700
vel_y, Err, 48.000000, P, 0.042000, I, 0.000000, D, 0.002500, PID, 0.044500
vel_x, Err, -51.000000, P, -0.040800, I, 0.000000, D, -0.001000, PID, -0.041800
vel_y, Err, 52.000000, P, 0.045500, I, 0.000000, D, 0.002500, PID, 0.048000
vel_x, Err, -54.000000, P, -0.043200, I, 0.000000, D, -0.001500, PID, -0.044700
vel_y, Err, 57.000000, P, 0.049875, I, 0.000000, D, 0.003125, PID, 0.053000
vel_x, Err, -58.000000, P, -0.046400, I, 0.000000, D, -0.002000, PID, -0.048400
vel_y, Err, 62.000000, P, 0.054250, I, 0.000000, D, 0.003125, PID, 0.057375
vel_x, Err, -58.000000, P, -0.046400, I, 0.000000, D, 0.000000, PID, -0.046400
vel_y, Err, 62.000000, P, 0.054250, I, 0.000000, D, 0.000000, PID, 0.054250
vel_x, Err, -58.000000, P, -0.046400, I, 0.000000, D, 0.000000, PID, -0.046400
vel_y, Err, 62.000000, P, 0.054250, I, 0.000000, D, 0.000000, PID, 0.054250
vel_x, Err, -42.000000, P, -0.033600, I, 0.000000, D, 0.000000, PID, -0.033600
vel_y, Err, 72.000000, P, 0.063000, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, -37.000000, P, -0.029600, I, 0.000000, D, 0.002500, PID, -0.027100
vel_y, Err, 69.000000, P, 0.060375, I, 0.000000, D, -0.001875, PID, 0.058500
vel_x, Err, -32.000000, P, -0.025600, I, 0.000000, D, 0.002500, PID, -0.023100
vel_y, Err, 68.000000, P, 0.059500, I, 0.000000, D, -0.000625, PID, 0.058875
vel_x, Err, -27.000000, P, -0.021600, I, 0.000000, D, 0.002500, PID, -0.019100
vel_y, Err, 67.000000, P, 0.058625, I, 0.000000, D, -0.000625, PID, 0.058000
vel_x, Err, -22.000000, P, -0.017600, I, 0.000000, D, 0.002500, PID, -0.015100
vel_y, Err, 69.000000, P, 0.060375, I, 0.000000, D, 0.001250, PID, 0.061625
vel_x, Err, -21.000000, P, -0.016800, I, 0.000000, D, 0.000500, PID, -0.016300
vel_y, Err, 70.000000, P, 0.061250, I, 0.000000, D, 0.000625, PID, 0.061875
vel_x, Err, -18.000000, P, -0.014400, I, 0.000000, D, 0.001500, PID, -0.012900
vel_y, Err, 73.000000, P, 0.063875, I, 0.000000, D, 0.001875, PID, 0.062500
vel_x, Err, -14.000000, P, -0.011200, I, 0.000000, D, 0.002000, PID, -0.009200
vel_y, Err, 74.000000, P, 0.064750, I, 0.000000, D, 0.000625, PID, 0.062500
vel_x, Err, -12.000000, P, -0.009600, I, 0.000000, D, 0.001000, PID, -0.008600
vel_y, Err, 75.000000, P, 0.065625, I, 0.000000, D, 0.000625, PID, 0.062500
vel_x, Err, -10.000000, P, -0.008000, I, 0.000000, D, 0.001000, PID, -0.007000
vel_y, Err, 75.000000, P, 0.065625, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, -9.000000, P, -0.007200, I, 0.000000, D, 0.000500, PID, -0.006700
vel_y, Err, 76.000000, P, 0.066500, I, 0.000000, D, 0.000625, PID, 0.062500
vel_x, Err, -7.000000, P, -0.005600, I, 0.000000, D, 0.001000, PID, -0.004600
vel_y, Err, 75.000000, P, 0.065625, I, 0.000000, D, -0.000625, PID, 0.062500
vel_x, Err, -5.000000, P, -0.004000, I, 0.000000, D, 0.001000, PID, -0.003000
vel_y, Err, 75.000000, P, 0.065625, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 75.000000, P, 0.065625, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 74.000000, P, 0.064750, I, 0.000000, D, -0.000625, PID, 0.062500
vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 73.000000, P, 0.063875, I, 0.000000, D, -0.000625, PID, 0.062500
vel_x, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_y, Err, 72.000000, P, 0.063000, I, 0.000000, D, -0.000625, PID, 0.062375
vel_x, Err, 7.000000, P, 0.005600, I, 0.000000, D, 0.006000, PID, 0.011600
vel_y, Err, 68.000000, P, 0.059500, I, 0.000000, D, -0.002500, PID, 0.057000
vel_x, Err, 10.000000, P, 0.008000, I, 0.000000, D, 0.001500, PID, 0.009500
vel_y, Err, 64.000000, P, 0.056000, I, 0.000000, D, -0.002500, PID, 0.053500
vel_x, Err, 12.000000, P, 0.009600, I, 0.000000, D, 0.001000, PID, 0.010600
vel_y, Err, 62.000000, P, 0.054250, I, 0.000000, D, -0.001250, PID, 0.053000
vel_x, Err, 15.000000, P, 0.012000, I, 0.000000, D, 0.001500, PID, 0.013500
vel_y, Err, 56.000000, P, 0.049000, I, 0.000000, D, -0.003750, PID, 0.045250
vel_x, Err, 16.000000, P, 0.012800, I, 0.000000, D, 0.000500, PID, 0.013300
vel_y, Err, 54.000000, P, 0.047250, I, 0.000000, D, -0.001250, PID, 0.046000
vel_x, Err, 18.000000, P, 0.014400, I, 0.000000, D, 0.001000, PID, 0.015400
vel_y, Err, 50.000000, P, 0.043750, I, 0.000000, D, -0.002500, PID, 0.041250
vel_x, Err, 19.000000, P, 0.015200, I, 0.000000, D, 0.000500, PID, 0.015700
vel_y, Err, 47.000000, P, 0.041125, I, 0.000000, D, -0.001875, PID, 0.039250
vel_x, Err, 20.000000, P, 0.016000, I, 0.000000, D, 0.000500, PID, 0.016500
vel_y, Err, 41.000000, P, 0.035875, I, 0.000000, D, -0.003750, PID, 0.032125
vel_x, Err, 21.000000, P, 0.016800, I, 0.000000, D, 0.000500, PID, 0.017300
vel_y, Err, 35.000000, P, 0.030625, I, 0.000000, D, -0.003750, PID, 0.026875
vel_x, Err, 21.000000, P, 0.016800, I, 0.000000, D, 0.000000, PID, 0.016800
vel_y, Err, 32.000000, P, 0.028000, I, 0.000000, D, -0.001875, PID, 0.026125
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.000500, PID, 0.018100
vel_y, Err, 25.000000, P, 0.021875, I, 0.000000, D, -0.004375, PID, 0.017500
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.000000, PID, 0.017600
vel_y, Err, 20.000000, P, 0.017500, I, 0.000000, D, -0.003125, PID, 0.014375
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.000000, PID, 0.017600
vel_y, Err, 17.000000, P, 0.014875, I, 0.000000, D, -0.001875, PID, 0.013000
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.000000, PID, 0.017600
vel_y, Err, 14.000000, P, 0.012250, I, 0.000000, D, -0.001875, PID, 0.010375
vel_x, Err, 22.000000, P, 0.017600, I, 0.000000, D, 0.000000, PID, 0.017600
vel_y, Err, 6.000000, P, 0.005250, I, 0.000000, D, -0.005000, PID, 0.000250
vel_x, Err, 21.000000, P, 0.016800, I, 0.000000, D, -0.000500, PID, 0.016300
vel_y, Err, -3.000000, P, -0.002625, I, 0.000000, D, -0.005625, PID, -0.008250
vel_x, Err, 21.000000, P, 0.016800, I, 0.000000, D, 0.000000, PID, 0.016800
vel_y, Err, -7.000000, P, -0.006125, I, 0.000000, D, -0.002500, PID, -0.008625
vel_x, Err, 20.000000, P, 0.016000, I, 0.000000, D, -0.000500, PID, 0.015500
vel_y, Err, -10.000000, P, -0.008750, I, 0.000000, D, -0.001875, PID, -0.010625
vel_x, Err, 19.000000, P, 0.015200, I, 0.000000, D, -0.000500, PID, 0.014700
vel_y, Err, -14.000000, P, -0.012250, I, 0.000000, D, -0.002500, PID, -0.014750
vel_x, Err, 19.000000, P, 0.015200, I, 0.000000, D, 0.000000, PID, 0.015200
vel_y, Err, -17.000000, P, -0.014875, I, 0.000000, D, -0.001875, PID, -0.016750
vel_x, Err, 18.000000, P, 0.014400, I, 0.000000, D, -0.000500, PID, 0.013900
vel_y, Err, -21.000000, P, -0.018375, I, 0.000000, D, -0.002500, PID, -0.020875
vel_x, Err, 16.000000, P, 0.012800, I, 0.000000, D, -0.001000, PID, 0.011800
vel_y, Err, -25.000000, P, -0.021875, I, 0.000000, D, -0.002500, PID, -0.024375
vel_x, Err, 13.000000, P, 0.010400, I, 0.000000, D, -0.001500, PID, 0.008900
vel_y, Err, -28.000000, P, -0.024500, I, 0.000000, D, -0.001875, PID, -0.026375
vel_x, Err, 11.000000, P, 0.008800, I, 0.000000, D, -0.001000, PID, 0.007800
vel_y, Err, -30.000000, P, -0.026250, I, 0.000000, D, -0.001250, PID, -0.027500
vel_x, Err, 9.000000, P, 0.007200, I, 0.000000, D, -0.001000, PID, 0.006200
