Starting DroneDriver
vel_x, Err, 60.000000, P, 0.060000, I, 0.000000, D, 0.000000, PID, 0.050000
vel_y, Err, 76.000000, P, 0.095000, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, 61.000000, P, 0.061000, I, 0.000000, D, 0.000800, PID, 0.050000
vel_y, Err, 70.000000, P, 0.087500, I, 0.000000, D, -0.005250, PID, 0.062500
vel_x, Err, 61.000000, P, 0.061000, I, 0.000000, D, 0.000000, PID, 0.050000
vel_y, Err, 70.000000, P, 0.087500, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, 61.000000, P, 0.061000, I, 0.000000, D, 0.000000, PID, 0.050000
vel_y, Err, 70.000000, P, 0.087500, I, 0.000000, D, 0.000000, PID, 0.062500
vel_x, Err, 60.000000, P, 0.060000, I, 0.000000, D, 0.000000, PID, 0.050000
vel_y, Err, 6.000000, P, 0.007500, I, 0.000000, D, 0.000000, PID, 0.007500
vel_x, Err, 49.000000, P, 0.049000, I, 0.000000, D, -0.008800, PID, 0.040200
vel_y, Err, -1.000000, P, -0.001250, I, 0.000000, D, -0.006125, PID, -0.007375
vel_x, Err, 46.000000, P, 0.046000, I, 0.000000, D, -0.002400, PID, 0.043600
vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
vel_x, Err, 43.000000, P, 0.043000, I, 0.000000, D, -0.002400, PID, 0.040600
vel_y, Err, -6.000000, P, -0.007500, I, 0.000000, D, -0.004375, PID, -0.011875
vel_x, Err, 39.000000, P, 0.039000, I, 0.000000, D, -0.003200, PID, 0.035800
vel_y, Err, -8.000000, P, -0.010000, I, 0.000000, D, -0.001750, PID, -0.011750
vel_x, Err, 33.000000, P, 0.033000, I, 0.000000, D, -0.004800, PID, 0.028200
vel_y, Err, -13.000000, P, -0.016250, I, 0.000000, D, -0.004375, PID, -0.020625
vel_x, Err, 29.000000, P, 0.029000, I, 0.000000, D, -0.003200, PID, 0.025800
vel_y, Err, -15.000000, P, -0.018750, I, 0.000000, D, -0.001750, PID, -0.020500
vel_x, Err, 28.000000, P, 0.028000, I, 0.000000, D, -0.000800, PID, 0.027200
vel_y, Err, -15.000000, P, -0.018750, I, 0.000000, D, 0.000000, PID, -0.018750
vel_x, Err, 25.000000, P, 0.025000, I, 0.000000, D, -0.002400, PID, 0.022600
vel_y, Err, -16.000000, P, -0.020000, I, 0.000000, D, -0.000875, PID, -0.020875
vel_x, Err, 23.000000, P, 0.023000, I, 0.000000, D, -0.001600, PID, 0.021400
vel_y, Err, -15.000000, P, -0.018750, I, 0.000000, D, 0.000875, PID, -0.017875
vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, -0.000800, PID, 0.021200
vel_y, Err, -14.000000, P, -0.017500, I, 0.000000, D, 0.000875, PID, -0.016625
vel_x, Err, 19.000000, P, 0.019000, I, 0.000000, D, -0.002400, PID, 0.016600
vel_y, Err, -15.000000, P, -0.018750, I, 0.000000, D, -0.000875, PID, -0.019625
vel_x, Err, 18.000000, P, 0.018000, I, 0.000000, D, -0.000800, PID, 0.017200
vel_y, Err, -16.000000, P, -0.020000, I, 0.000000, D, -0.000875, PID, -0.020875
vel_x, Err, 19.000000, P, 0.019000, I, 0.000000, D, 0.000800, PID, 0.019800
vel_y, Err, -17.000000, P, -0.021250, I, 0.000000, D, -0.000875, PID, -0.022125
vel_x, Err, 20.000000, P, 0.020000, I, 0.000000, D, 0.000800, PID, 0.020800
vel_y, Err, -18.000000, P, -0.022500, I, 0.000000, D, -0.000875, PID, -0.023375
vel_x, Err, 20.000000, P, 0.020000, I, 0.000000, D, 0.000000, PID, 0.020000
vel_y, Err, -19.000000, P, -0.023750, I, 0.000000, D, -0.000875, PID, -0.024625
vel_x, Err, 21.000000, P, 0.021000, I, 0.000000, D, 0.000800, PID, 0.021800
vel_y, Err, -23.000000, P, -0.028750, I, 0.000000, D, -0.003500, PID, -0.032250
vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.000800, PID, 0.022800
vel_y, Err, -28.000000, P, -0.035000, I, 0.000000, D, -0.004375, PID, -0.039375
vel_x, Err, 21.000000, P, 0.021000, I, 0.000000, D, -0.000800, PID, 0.020200
vel_y, Err, -41.000000, P, -0.051250, I, 0.000000, D, -0.011375, PID, -0.062500
vel_x, Err, 17.000000, P, 0.017000, I, 0.000000, D, -0.003200, PID, 0.013800
vel_y, Err, -49.000000, P, -0.061250, I, 0.000000, D, -0.007000, PID, -0.062500
vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, -0.000800, PID, 0.015200
vel_y, Err, -48.000000, P, -0.060000, I, 0.000000, D, 0.000875, PID, -0.059125
vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000000, PID, 0.016000
vel_y, Err, -46.000000, P, -0.057500, I, 0.000000, D, 0.001750, PID, -0.055750
vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000000, PID, 0.016000
vel_y, Err, -42.000000, P, -0.052500, I, 0.000000, D, 0.003500, PID, -0.049000
vel_x, Err, 16.000000, P, 0.016000, I, 0.000000, D, 0.000000, PID, 0.016000
vel_y, Err, -34.000000, P, -0.042500, I, 0.000000, D, 0.007000, PID, -0.035500
vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, -0.000800, PID, 0.014200
vel_y, Err, -22.000000, P, -0.027500, I, 0.000000, D, 0.010500, PID, -0.017000
vel_x, Err, 12.000000, P, 0.012000, I, 0.000000, D, -0.002400, PID, 0.009600
vel_y, Err, -14.000000, P, -0.017500, I, 0.000000, D, 0.007000, PID, -0.010500
vel_x, Err, 8.000000, P, 0.008000, I, 0.000000, D, -0.003200, PID, 0.004800
vel_y, Err, -10.000000, P, -0.012500, I, 0.000000, D, 0.003500, PID, -0.009000
vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, -0.001600, PID, 0.004400
vel_y, Err, -13.000000, P, -0.016250, I, 0.000000, D, -0.002625, PID, -0.018875
vel_x, Err, 6.000000, P, 0.006000, I, 0.000000, D, 0.000000, PID, 0.006000
vel_y, Err, -16.000000, P, -0.020000, I, 0.000000, D, -0.002625, PID, -0.022625
vel_x, Err, 10.000000, P, 0.010000, I, 0.000000, D, 0.003200, PID, 0.013200
vel_y, Err, -20.000000, P, -0.025000, I, 0.000000, D, -0.003500, PID, -0.028500
vel_x, Err, 12.000000, P, 0.012000, I, 0.000000, D, 0.001600, PID, 0.013600
vel_y, Err, -22.000000, P, -0.027500, I, 0.000000, D, -0.001750, PID, -0.029250
vel_x, Err, 13.000000, P, 0.013000, I, 0.000000, D, 0.000800, PID, 0.013800
vel_y, Err, -21.000000, P, -0.026250, I, 0.000000, D, 0.000875, PID, -0.025375
vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, 0.001600, PID, 0.016600
vel_y, Err, -25.000000, P, -0.031250, I, 0.000000, D, -0.003500, PID, -0.034750
vel_x, Err, 18.000000, P, 0.018000, I, 0.000000, D, 0.002400, PID, 0.020400
vel_y, Err, -31.000000, P, -0.038750, I, 0.000000, D, -0.005250, PID, -0.044000
