2011-11-23 16:06:12,461 Starting DroneDriver
2011-11-23 16:06:15,993 vel_x, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:15,993 vel_y, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:16,002 vel_x, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:16,002 vel_y, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:16,453 vel_x, Err, -1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:16,453 vel_y, Err, 2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:16,978 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, -0.010400, PID, -0.023400
2011-11-23 16:06:16,979 vel_y, Err, -3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:17,007 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.014400, PID, -0.045400
2011-11-23 16:06:17,008 vel_y, Err, -28.000000, P, -0.028000, I, 0.000000, D, -0.022400, PID, -0.050400
2011-11-23 16:06:17,028 vel_x, Err, -40.000000, P, -0.040000, I, 0.000000, D, -0.007200, PID, -0.047200
2011-11-23 16:06:17,029 vel_y, Err, -75.000000, P, -0.075000, I, 0.000000, D, -0.037600, PID, -0.080000
2011-11-23 16:06:18,004 vel_x, Err, -36.000000, P, -0.036000, I, 0.000000, D, 0.003200, PID, -0.032800
2011-11-23 16:06:18,004 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:18,029 vel_x, Err, -50.000000, P, -0.050000, I, 0.000000, D, -0.011200, PID, -0.061200
2011-11-23 16:06:18,030 vel_y, Err, -65.000000, P, -0.065000, I, 0.000000, D, 0.008000, PID, -0.057000
2011-11-23 16:06:18,053 vel_x, Err, -50.000000, P, -0.050000, I, 0.000000, D, 0.000000, PID, -0.050000
2011-11-23 16:06:18,053 vel_y, Err, -65.000000, P, -0.065000, I, 0.000000, D, 0.000000, PID, -0.065000
2011-11-23 16:06:18,529 vel_x, Err, -50.000000, P, -0.050000, I, 0.000000, D, 0.000000, PID, -0.050000
2011-11-23 16:06:18,529 vel_y, Err, -65.000000, P, -0.065000, I, 0.000000, D, 0.000000, PID, -0.065000
2011-11-23 16:06:18,554 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.025600, PID, 0.007600
2011-11-23 16:06:18,555 vel_y, Err, -12.000000, P, -0.012000, I, 0.000000, D, 0.042400, PID, 0.030400
2011-11-23 16:06:18,578 vel_x, Err, -34.000000, P, -0.034000, I, 0.000000, D, -0.012800, PID, -0.046800
2011-11-23 16:06:18,578 vel_y, Err, -65.000000, P, -0.065000, I, 0.000000, D, -0.042400, PID, -0.080000
2011-11-23 16:06:18,628 vel_x, Err, -36.000000, P, -0.036000, I, 0.000000, D, -0.001600, PID, -0.037600
2011-11-23 16:06:18,629 vel_y, Err, -71.000000, P, -0.071000, I, 0.000000, D, -0.004800, PID, -0.075800
2011-11-23 16:06:19,553 vel_x, Err, -36.000000, P, -0.036000, I, 0.000000, D, 0.000000, PID, -0.036000
2011-11-23 16:06:19,554 vel_y, Err, -71.000000, P, -0.071000, I, 0.000000, D, 0.000000, PID, -0.071000
2011-11-23 16:06:19,575 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.014400, PID, -0.003600
2011-11-23 16:06:19,576 vel_y, Err, -45.000000, P, -0.045000, I, 0.000000, D, 0.020800, PID, -0.024200
2011-11-23 16:06:19,603 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.000000, PID, -0.018000
2011-11-23 16:06:19,604 vel_y, Err, -45.000000, P, -0.045000, I, 0.000000, D, 0.000000, PID, -0.045000
2011-11-23 16:06:20,578 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.000000, PID, -0.018000
2011-11-23 16:06:20,579 vel_y, Err, -45.000000, P, -0.045000, I, 0.000000, D, 0.000000, PID, -0.045000
2011-11-23 16:06:20,628 vel_x, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:20,628 vel_y, Err, -67.000000, P, -0.067000, I, 0.000000, D, 0.000000, PID, -0.067000
2011-11-23 16:06:21,603 vel_x, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:06:21,604 vel_y, Err, -67.000000, P, -0.067000, I, 0.000000, D, 0.000000, PID, -0.067000
2011-11-23 16:06:21,628 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.002400, PID, -0.033400
2011-11-23 16:06:21,629 vel_y, Err, -66.000000, P, -0.066000, I, 0.000000, D, 0.000800, PID, -0.065200
2011-11-23 16:06:21,653 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 16:06:21,653 vel_y, Err, -66.000000, P, -0.066000, I, 0.000000, D, 0.000000, PID, -0.066000
2011-11-23 16:06:22,628 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 16:06:22,629 vel_y, Err, -66.000000, P, -0.066000, I, 0.000000, D, 0.000000, PID, -0.066000
2011-11-23 16:06:24,703 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:24,704 vel_y, Err, -25.000000, P, -0.025000, I, 0.000000, D, 0.000000, PID, -0.025000
2011-11-23 16:06:24,728 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:24,728 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000800, PID, -0.023200
2011-11-23 16:06:25,177 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,178 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:25,203 vel_x, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,203 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:25,680 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,681 vel_y, Err, -22.000000, P, -0.022000, I, 0.000000, D, 0.001600, PID, -0.020400
2011-11-23 16:06:25,704 vel_x, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,705 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, -0.000800, PID, -0.023800
2011-11-23 16:06:25,728 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,728 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, -0.000800, PID, -0.024800
2011-11-23 16:06:25,751 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:25,751 vel_y, Err, -24.000000, P, -0.024000, I, 0.000000, D, 0.000000, PID, -0.024000
2011-11-23 16:06:26,202 vel_x, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:06:26,203 vel_y, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000800, PID, -0.022200
