2011-11-23 16:08:57,561 Starting DroneDriver
2011-11-23 16:10:39,376 ToggleCam 0
2011-11-23 16:10:39,376 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:10:39,377 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:10:39,385 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:10:39,386 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:10:39,430 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:10:39,430 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:10:39,454 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:10:39,455 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:10:39,535 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:10:39,536 vel_y, Err, -49.000000, P, -0.049000, I, 0.000000, D, 0.000000, PID, -0.049000
2011-11-23 16:11:05,031 vel_x, Err, -36.000000, P, -0.036000, I, 0.000000, D, 0.000000, PID, -0.036000
2011-11-23 16:11:05,031 vel_y, Err, 14.000000, P, 0.014000, I, 0.000000, D, 0.000000, PID, 0.014000
2011-11-23 16:11:05,106 vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.000000, PID, -0.023000
2011-11-23 16:11:05,107 vel_y, Err, 5.000000, P, 0.005000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,153 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.000000, PID, -0.015000
2011-11-23 16:11:05,154 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,205 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.000000, PID, -0.015000
2011-11-23 16:11:05,206 vel_y, Err, -3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:05,253 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,254 vel_y, Err, -5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:05,305 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,306 vel_y, Err, -9.000000, P, -0.009000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,431 vel_x, Err, -18.000000, P, -0.018000, I, 0.000000, D, 0.000000, PID, -0.018000
2011-11-23 16:11:05,431 vel_y, Err, -14.000000, P, -0.014000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,456 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,456 vel_y, Err, -15.000000, P, -0.015000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,505 vel_x, Err, -20.000000, P, -0.020000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,506 vel_y, Err, -17.000000, P, -0.017000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,580 vel_x, Err, -17.000000, P, -0.017000, I, 0.000000, D, 0.000000, PID, -0.017000
2011-11-23 16:11:05,581 vel_y, Err, -18.000000, P, -0.018000, I, 0.000000, D, -1.000000, PID, -0.080000
2011-11-23 16:11:05,631 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.000000, PID, -0.015000
2011-11-23 16:11:05,631 vel_y, Err, -17.000000, P, -0.017000, I, 0.000000, D, 0.000000, PID, -0.017000
2011-11-23 16:11:05,681 vel_x, Err, -13.000000, P, -0.013000, I, 0.000000, D, 0.000000, PID, -0.013000
2011-11-23 16:11:05,682 vel_y, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.000000, PID, -0.016000
2011-11-23 16:11:05,856 vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:05,856 vel_y, Err, -4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:05,905 vel_x, Err, 9.000000, P, 0.009000, I, 0.000000, D, 0.000000, PID, 0.009000
2011-11-23 16:11:05,906 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:05,956 vel_x, Err, 15.000000, P, 0.015000, I, 0.000000, D, 0.000000, PID, 0.015000
2011-11-23 16:11:05,956 vel_y, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:11:06,031 vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.000000, PID, 0.022000
