2011-11-23 16:20:29,610 Starting DroneDriver
2011-11-23 16:20:29,878 vel_x, Err, 22.000000, P, 0.022000, I, 0.000000, D, 0.000000, PID, 0.022000
2011-11-23 16:20:29,879 vel_y, Err, -54.000000, P, -0.054000, I, 0.000000, D, 0.000000, PID, -0.054000
2011-11-23 16:20:29,907 vel_x, Err, 25.000000, P, 0.025000, I, 0.000000, D, 0.010739, PID, 0.035739
2011-11-23 16:20:29,907 vel_y, Err, -58.000000, P, -0.058000, I, 0.000000, D, -0.014178, PID, -0.072178
2011-11-23 16:20:29,957 vel_x, Err, 27.000000, P, 0.027000, I, 0.000000, D, 0.003994, PID, 0.030994
2011-11-23 16:20:29,958 vel_y, Err, -61.000000, P, -0.061000, I, 0.000000, D, -0.005893, PID, -0.066893
2011-11-23 16:20:30,006 vel_x, Err, 29.000000, P, 0.029000, I, 0.000000, D, 0.004027, PID, 0.033027
2011-11-23 16:20:30,007 vel_y, Err, -64.000000, P, -0.064000, I, 0.000000, D, -0.006137, PID, -0.070137
2011-11-23 16:20:30,056 vel_x, Err, 31.000000, P, 0.031000, I, 0.000000, D, 0.004001, PID, 0.035001
2011-11-23 16:20:30,057 vel_y, Err, -67.000000, P, -0.067000, I, 0.000000, D, -0.005999, PID, -0.072999
2011-11-23 16:20:30,131 vel_x, Err, 34.000000, P, 0.034000, I, 0.000000, D, 0.004017, PID, 0.038017
2011-11-23 16:20:30,132 vel_y, Err, -71.000000, P, -0.071000, I, 0.000000, D, -0.005364, PID, -0.076364
2011-11-23 16:20:30,181 vel_x, Err, 35.000000, P, 0.035000, I, 0.000000, D, 0.002013, PID, 0.037013
2011-11-23 16:20:30,181 vel_y, Err, -73.000000, P, -0.073000, I, 0.000000, D, -0.004026, PID, -0.077026
2011-11-23 16:20:30,232 vel_x, Err, 35.000000, P, 0.035000, I, 0.000000, D, 0.000000, PID, 0.035000
2011-11-23 16:20:30,232 vel_y, Err, -74.000000, P, -0.074000, I, 0.000000, D, -0.001972, PID, -0.075972
2011-11-23 16:20:30,256 vel_x, Err, 34.000000, P, 0.034000, I, 0.000000, D, -0.004058, PID, 0.029942
2011-11-23 16:20:30,257 vel_y, Err, -75.000000, P, -0.075000, I, 0.000000, D, -0.004056, PID, -0.079056
2011-11-23 16:20:30,331 vel_x, Err, 32.000000, P, 0.032000, I, 0.000000, D, -0.002670, PID, 0.029330
2011-11-23 16:20:30,332 vel_y, Err, -75.000000, P, -0.075000, I, 0.000000, D, 0.000000, PID, -0.075000
2011-11-23 16:20:30,381 vel_x, Err, 32.000000, P, 0.032000, I, 0.000000, D, 0.000000, PID, 0.032000
2011-11-23 16:20:30,381 vel_y, Err, -75.000000, P, -0.075000, I, 0.000000, D, 0.000000, PID, -0.075000
2011-11-23 16:20:30,431 vel_x, Err, 32.000000, P, 0.032000, I, 0.000000, D, 0.000000, PID, 0.032000
2011-11-23 16:20:30,432 vel_y, Err, -75.000000, P, -0.075000, I, 0.000000, D, 0.000000, PID, -0.075000
2011-11-23 16:20:36,779 vel_x, Err, -28.000000, P, -0.028000, I, 0.000000, D, 0.000000, PID, -0.028000
2011-11-23 16:20:36,779 vel_y, Err, -59.000000, P, -0.059000, I, 0.000000, D, 0.000000, PID, -0.059000
2011-11-23 16:20:36,828 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.006089, PID, -0.037089
2011-11-23 16:20:36,828 vel_y, Err, -72.000000, P, -0.072000, I, 0.000000, D, -0.026395, PID, -0.080000
2011-11-23 16:20:36,906 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 16:20:36,907 vel_y, Err, -72.000000, P, -0.072000, I, 0.000000, D, 0.000000, PID, -0.072000
2011-11-23 16:20:37,006 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, 0.000000, PID, -0.031000
2011-11-23 16:20:37,007 vel_y, Err, -72.000000, P, -0.072000, I, 0.000000, D, 0.000000, PID, -0.072000
2011-11-23 16:20:45,181 vel_x, Err, -16.000000, P, -0.016000, I, 0.000000, D, 0.000000, PID, -0.016000
2011-11-23 16:20:45,181 vel_y, Err, 5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,255 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, -0.004024, PID, -0.023024
2011-11-23 16:20:45,255 vel_y, Err, 6.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,304 vel_x, Err, -22.000000, P, -0.022000, I, 0.000000, D, -0.006212, PID, -0.028212
2011-11-23 16:20:45,304 vel_y, Err, 5.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,353 vel_x, Err, -26.000000, P, -0.026000, I, 0.000000, D, -0.008156, PID, -0.034156
2011-11-23 16:20:45,353 vel_y, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,380 vel_x, Err, -29.000000, P, -0.029000, I, 0.000000, D, -0.011111, PID, -0.040111
2011-11-23 16:20:45,380 vel_y, Err, 3.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,453 vel_x, Err, -31.000000, P, -0.031000, I, 0.000000, D, -0.002731, PID, -0.033731
2011-11-23 16:20:45,453 vel_y, Err, 1.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:20:45,530 vel_x, Err, -30.000000, P, -0.030000, I, 0.000000, D, 0.001297, PID, -0.028703
2011-11-23 16:20:45,531 vel_y, Err, 0.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
