2011-11-23 16:26:00,991 Starting DroneDriver
2011-11-23 16:26:01,198 vel_x, Err, -27.000000, P, -0.027000, I, 0.000000, D, 0.000000, PID, -0.027000
2011-11-23 16:26:01,199 vel_y, Err, 30.000000, P, 0.030000, I, 0.000000, D, 0.000000, PID, 0.030000
2011-11-23 16:26:01,230 vel_x, Err, -23.000000, P, -0.023000, I, 0.000000, D, 0.037417, PID, 0.014417
2011-11-23 16:26:01,231 vel_y, Err, 28.000000, P, 0.028000, I, 0.000000, D, -0.018722, PID, 0.009278
2011-11-23 16:26:01,280 vel_x, Err, -19.000000, P, -0.019000, I, 0.000000, D, 0.024148, PID, 0.005148
2011-11-23 16:26:01,281 vel_y, Err, 27.000000, P, 0.027000, I, 0.000000, D, -0.006037, PID, 0.020963
2011-11-23 16:26:01,330 vel_x, Err, -15.000000, P, -0.015000, I, 0.000000, D, 0.023940, PID, 0.008940
2011-11-23 16:26:01,331 vel_y, Err, 26.000000, P, 0.026000, I, 0.000000, D, -0.005984, PID, 0.020016
2011-11-23 16:26:01,380 vel_x, Err, -12.000000, P, -0.012000, I, 0.000000, D, 0.018035, PID, 0.006035
2011-11-23 16:26:01,381 vel_y, Err, 25.000000, P, 0.025000, I, 0.000000, D, -0.006006, PID, 0.018994
2011-11-23 16:26:01,455 vel_x, Err, -7.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:26:01,456 vel_y, Err, 22.000000, P, 0.022000, I, 0.000000, D, -0.011990, PID, 0.010010
2011-11-23 16:26:01,505 vel_x, Err, -2.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:26:01,506 vel_y, Err, 19.000000, P, 0.019000, I, 0.000000, D, -0.017964, PID, 0.001036
2011-11-23 16:26:01,555 vel_x, Err, 4.000000, P, 0.000000, I, 0.000000, D, 0.000000, PID, 0.000000
2011-11-23 16:26:01,556 vel_y, Err, 17.000000, P, 0.017000, I, 0.000000, D, -0.012009, PID, 0.004991
